iter	Passed	Remaining
536	4351	3751
537	4357	3742
538	4364	3732
539	4371	3723
540	4378	3715
541	4386	3706
542	4393	3697
543	4400	3688
544	4406	3678
545	4414	3670
546	4426	3665
547	4433	3656
548	4441	3648
549	4449	3640
550	4457	3632
551	4468	3626
552	4477	3618
553	4483	3609
554	4490	3600
555	4497	3591
556	4504	3582
557	4511	3573
558	4517	3563
559	4524	3555
560	4533	3547
561	4541	3539
562	4550	3531
563	4559	3524
564	4566	3515
565	4573	3506
566	4580	3497
567	4587	3488
568	4593	3479
569	4600	3470
570	4607	3461
571	4614	3452
572	4620	3443
573	4627	3434
574	4634	3425
575	4640	3416
576	4647	3407
577	4654	3398
578	4660	3388
579	4667	3380
580	4675	3371
581	4682	3363
582	4689	3353
583	4695	3344
584	4702	3335
585	4709	3327
586	4715	3317
587	4722	3308
588	4729	3300
589	4739	3293
590	4748	3285
591	4757	3279
592	4764	3270
593	4772	3262
594	4779	3253
595	4785	3244
596	4792	3235
597	4799	3226
598	4806	3217
599	4813	3208
600	4819	3199
601	4826	3191
602	4833	3182
603	4840	3173
604	4846	3164
605	4853	3155
606	4860	3146
607	4866	3137
608	4873	3128
609	4880	3120
610	4886	3111
611	4893	3102
612	4899	3093
613	4906	3084
614	4913	3075
615	4919	3066
616	4926	3058
617	4933	3049
618	4941	3041
619	4950	3034
620	4959	3026
621	4968	3019
622	4975	3010
623	4983	3002
624	4990	2994
625	4996	2985
626	5003	2976
627	5010	2967
628	5017	2959
629	5024	2950
630	5030	2941
631	5037	2933
632	5044	2924
633	5050	2915
634	5057	2907
635	5064	2898
636	5071	2889
637	5078	2881
638	5084	2872
639	5091	2863
640	5097	2855
641	5104	2846
642	5111	2837
643	5118	2829
644	5125	2820
645	5131	2812
646	5138	2803
647	5145	2794
648	5151	2786
649	5158	2777
650	5166	2769
651	5174	2762
652	5183	2754
653	5193	2747
654	5200	2738
655	5208	2731
656	5215	2722
657	5222	2714
658	5229	2705
659	5236	2697
